city;coordinateNumber;nameImpurity;1September;2September;3September;4September;5September;6September;7September;8September;9September;10September;11September;12September;13September;14September;15September;16September;17September;18September;19September;20September;21September;22September;23September;24September;25September;26September;27September;28September;29September;30September;;;;;;;;;;;;
Кривий Ріг;4793340;Завислі речовини;null;0,5;0,485714286;0,4;0,375;0,385714286;0,35;null;0,3875;0,3125;0,3875;0,44;0,3;0,67;null;0,79;0,56;0,17;0,3;0,4;0,31;null;0,34;0,37;0,39;0,34;0,36;0,35;null;1,01;;;;;;;;;;;;
Кривий Ріг;4793340;Дiоксид сiрки;null;0,02675;0,029555556;0,0318;0,0307;0,029222222;0,0306;null;0,024625;0,0197;0,0299;0,038461538;0,038923077;0,037;null;0,0334;0,034307692;0,021769231;0,031307692;0,024153846;0,025692308;null;0,0264;0,033692308;0,031615385;0,035230769;0,043538462;0,034;null;0,0229;;;;;;;;;;;;
Кривий Ріг;4793340;Оксид вуглецю;null;1,25;1,125;1,375;1;1;1;null;1;1,25;1;1,7;1,6;1,2;null;1,3;1,2;1,1;1;1,2;1;null;1,2;1,4;1,3;1,101;1,401;1,5;null;1,6;;;;;;;;;;;;
Кривий Ріг;4793340;Дiоксид азоту;null;0,03;0,03;0,034;0,029;0,031111111;0,03;null;0,0325;0,05;0,067;0,057692308;0,045384615;0,036923077;null;0,05;0,033846154;0,044615385;0,036923077;0,026153846;0,030769231;null;0,042;0,039384615;0,044615385;0,025384615;0,036153846;0,036923077;null;0,105;;;;;;;;;;;;
Кривий Ріг;4793340;Оксид азоту;null;0,025;0,02;0,016666667;0,02;0,026666667;0,03;null;0,02;0,026666667;0,036666667;0,04;0,026666667;0,026666667;null;0,045;0,026666667;0,026666667;0,02;0,023333333;0,023333333;null;0,04;0,016666667;0,01;0,016666667;0,016666667;0,02;null;0,0065;;;;;;;;;;;;
Кривий Ріг;4793340;Сiрководень;null;0,00075;0,000857143;0,000875;0,000875;0,000857143;0,000875;null;0,000625;0,00125;0,0015;0,0015;0,0018;0,0013;null;0,0013;0,001;0,0009;0,001;0,0007;0,0009;null;0,001;0,0015;0,0012;0,0011;0,0016;0,0012;null;0,0008;;;;;;;;;;;;
Кривий Ріг;4793340;Фенол;null;0,001666667;0,001866667;0,0020625;0,0016875;0,0014;0,0018125;null;0,001166667;0,0020625;0,00275;0,00255;0,0034;0,0026;null;0,003133333;0,00295;0,0017;0,0018;0,0012;0,0018;null;0,001866667;0,0023;0,00265;0,00245;0,00435;0,00275;null;0,001666667;;;;;;;;;;;;
Кривий Ріг;4793340;Амiак;null;0,009166667;0,01;0,01;0,01;0,009333333;0,01;null;0,009166667;0,009375;0,011875;0,01;0,0135;0,01;null;0,012;0,0105;0,0085;0,01;0,0095;0,01;null;0,01;0,0105;0,012;0,0105;0,011;0,011;null;0,009333333;;;;;;;;;;;;
Кривий Ріг;4793340;Формальдегiд;null;0,018333333;0,016;0,01825;0,016875;0,0154;0,0155;null;0,012833333;0,011375;0,016125;0,015;0,02225;0,0214;null;0,029733333;0,02125;0,0156;0,0135;0,0147;0,0157;null;0,011066667;0,01415;0,0161;0,0142;0,0148;0,0145;null;0,017533333;;;;;;;;;;;;
Кам'янське;4853460;Завислі речовини;null;0,4726;0,4188875;0,3673875;0,3807;0,400175;0,4055875;null;0,1942625;0,2221;0,31455;0,2228125;0,1809;0,291625;null;0,441;0,49645;0,162225;0,457325;0,348675;0,371025;null;0,46135;0,381925;0,434225;0,2847;0,442125;0,4086;null;0,612333333;;;;;;;;;;;;
