city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Івано-Франківськ;4892470;Оксид вуглецю;null;1,55;1,85;1,75;2,05;1,8;1,85;null;2;1,95;1,8;1,8;1,85;1,65;null;1,4;2,2;1,4;1,55;1,8;1,8;null;null;null;null;null;null;null;null;null;null;
Івано-Франківськ;4892470;Дiоксид азоту;null;0,029825;0,037525;0,037375;0,0577;0,0576;0,04085;null;0,0347;0,035;0,03665;0,0455;0,039675;0,037325;null;0,053;0,041725;0,035025;0,03585;0,037825;0,046175;null;null;null;null;null;null;null;null;null;null;
Івано-Франківськ;4892470;Оксид азоту;null;0,021825;0,026125;0,0253;0,036925;0,036875;0,027425;null;0,02295;0,024175;0,0252;0,03165;0,0205;0,02455;null;0,0382;0,0362;0,0275;0,023275;0,024925;0,025525;null;null;null;null;null;null;null;null;null;null;
Дніпро;4863510;Завислі речовини;null;0,1875;0,225;0,25;0,25;0,2;0,25;null;0,3125;0,1875;0,1875;0,15;0,2125;0,2125;null;0,2;0,1375;0,175;0,1875;0,2;0,175;null;0,2125;0,2;0,2375;0,225;0,175;0,15;null;0,2125;0,175;
Дніпро;4863510;Дiоксид сiрки;null;0,012833333;0,012318182;0,010708333;0,010458333;0,009695652;0,012541667;null;0,011666667;0,011043478;0,010791667;0,015666667;0,016782609;0,015833333;null;0,011611111;0,013083333;0,01675;0,011791667;0,0105;0,012083333;null;0,012333333;0,010125;0,009521739;0,010041667;0,009958333;0,009375;null;0,008388889;0,009111111;
Дніпро;4863510;Оксид вуглецю;null;1,916666667;2,25;2,083333333;1,916666667;2,25;1,916666667;null;2,25;2,083333333;1,916666667;3,083333333;2,333333333;2,583333333;null;2,25;2,272727273;1,916666667;2,166666667;2,666666667;2,166666667;null;2,230769231;1,666666667;1,916666667;1,833333333;2,166666667;1,833333333;null;1,916666667;1,833333333;
Дніпро;4863510;Дiоксид азоту;null;0,067222222;0,055;0,047916667;0,054583333;0,053478261;0,055833333;null;0,063888889;0,06173913;0,059583333;0,053333333;0,053478261;0,053333333;null;0,055555556;0,0475;0,050416667;0,057916667;0,062916667;0,059583333;null;0,057777778;0,055416667;0,05;0,054583333;0,056666667;0,060416667;null;0,056111111;0,05;
Дніпро;4863510;Оксид азоту;null;0,026666667;0,035;0,0225;0,03;0,033333333;0,025;null;0,036666667;0,036666667;0,0175;0,0325;0,033333333;0,03;null;0,03;0,03;0,0275;0,0325;0,035;0,0375;null;0,033333333;0,025;0,03;0,055;0,035;0,03;null;0,033333333;0,03;
Дніпро;4863510;Сiрководень;null;0,001333333;0,001409091;0,001375;0,001958333;0,001652174;0,001;null;0,002333333;0,000391304;0,00075;0,003958333;0,003391304;0,002916667;null;0,001277778;0,001083333;0,003208333;0,001291667;0,001166667;0,002791667;null;0,002833333;0,00125;0,001347826;0,002125;0,001416667;0,001583333;null;0,001166667;0,001666667;
Дніпро;4863510;Фенол;null;0,001;0,00125;0,001416667;0,001416667;0,002;0,001583333;null;0,001777778;0,002916667;0,001916667;0,002833333;0,002916667;0,0005;null;0,002111111;0,002666667;0,0025;0,002;0,00275;0,0025;null;0,003555556;0,002;0,002;0,001916667;0,001083333;0,001333333;null;0,001;0,002;
Дніпро;4863510;Амiак;null;0,026666667;0,03625;0,02375;0,03625;0,035;0,03125;null;0,031666667;0,02625;0,035;0,04625;0,04;0,025;null;0,036666667;0,0375;0,04125;0,03875;0,03375;0,04125;null;0,038333333;0,0275;0,0375;0,03;0,03;0,03375;null;0,021666667;0,023333333;
Дніпро;4863510;Формальдегiд;null;0,009;0,01;0,009166667;0,0085;0,009833333;0,01075;null;0,009666667;0,0115;0,01075;0,010166667;0,009;0,008166667;null;0,010777778;0,01;0,009333333;0,010166667;0,0125;0,012333333;null;0,011555556;0,011083333;0,010916667;0,0115;0,00975;0,00975;null;0,009111111;0,009222222;
Кривий Ріг;4793340;Завислі речовини;null;0,28;0,26;0,3;0,25;0,01;0,18;null;0,08;0;0;0,08;0,2;0,04;null;0,03;0,05;0,14;0,22;0,26;0,12;null;0,06;0,11;0,19;0,2;0,21;0,23;null;null;null;
Кривий Ріг;4793340;Дiоксид сiрки;null;0,027;0,029846154;0,024923077;0,030692308;0,037692308;0,030230769;null;0,0215;0,015538462;0,006153846;0,015;0,018692308;0,016076923;null;0,0157;0,017307692;0,020153846;0,033461538;0,039230769;0,018846154;null;0,0355;0,023307692;0,019538462;0,023615385;0,021230769;0,022384615;null;null;null;
Кривий Ріг;4793340;Оксид вуглецю;null;1,1;1,3;1;1,6;2,1;1,3;null;1;1,1;1,5;0,9;1;1;null;1;1;1;1,3;1,7;1;null;1;1;1;1;1;1,1;null;null;null;
