city;coordinateNumber;nameImpurity;1August;2August;3August;4August;5August;6August;7August;8August;9August;10August;11August;12August;13August;14August;15August;16August;17August;18August;19August;20August;21August;22August;23August;24August;25August;26August;27August;28August;29August;30August;31August
Кривий Ріг;4793340;Завислі речовини;0,5;0,3875;0,3875;null;0,3375;0,4875;0,575;0,4875;0,525;0,4625;null;0,41;0,37;0,33;0,43;0,43;0,45;null;0,4125;0,375;0,5375;0,6125;0,4875;0,4625;null;0,5;0,428571429;0,457142857;0,4625;0,485714286;0,475
Кривий Ріг;4793340;Дiоксид сiрки;0,033363636;0,031727273;0,039909091;null;0,02225;0,029545455;0,029454545;0,037;0,032727273;0,028;null;0,0282;0,032;0,027769231;0,037153846;0,031846154;0,034;null;0,034625;0,0335;0,0351;0,0386;0,0295;0,0303;null;0,031;0,031777778;0,027777778;0,031;0,029666667;0,0345
Кривий Ріг;4793340;Оксид вуглецю;1,375;1;2;null;1;1,25;1;1,125;1,125;1;null;1;1,1;1;1,4;1,3;1,3;null;1,5;1;1;1,5;1,25;1,25;null;1,375;1,125;1,25;1,375;1;1,25
Кривий Ріг;4793340;Дiоксид азоту;0,02;0,029090909;0,043636364;null;0,01375;0,018181818;0,026363636;0,050909091;0,03;0,023636364;null;0,038;0,046153846;0,034615385;0,029230769;0,026923077;0,025384615;null;0,0425;0,025;0,034;0,04;0,029;0,025;null;0,035;0,033333333;0,062222222;0,051;0,038888889;0,03
Кривий Ріг;4793340;Оксид азоту;0,01;0,02;0,033333333;null;0,01;0,01;0,013333333;0,02;0,016666667;0,013333333;null;0,04;0,006666667;0,026666667;0,016666667;0,013333333;0,016666667;null;0,015;0,016666667;0,010666667;0,016666667;0,013333333;0,016666667;null;0,015;0,016666667;0,035;0,03;0,026666667;0,023333333
Кривий Ріг;4793340;Сiрководень;0,000875;0,001;0,00225;null;0,001;0,001;0,001;0,001;0,000875;0,00075;null;0,0009;0,0011;0,001;0,0013;0,0014;0,001;null;0,001375;0,00125;0,001375;0,001875;0,001;0,001;null;0,001;0,001;0,001142857;0,001125;0,001;0,001
Кривий Ріг;4793340;Фенол;0,0023125;0,00175;0,00325;null;0,0045;0,002625;0,0025;0,001875;0,002125;0,001375;null;0,001933333;0,00225;0,00205;0,00235;0,00215;0,0022;null;0,002416667;0,0025;0,002125;0,003;0,0018125;0,0020625;null;0,002583333;0,0024;0,002214286;0,0018125;0,001866667;0,00225
Кривий Ріг;4793340;Амiак;0,01;0,01;0,015625;null;0,008333333;0,009375;0,01;0,01;0,00875;0,01;null;0,009333333;0,01;0,009;0,01;0,01;0,0105;null;0,010833333;0,010625;0,009375;0,01;0,01;0,01;null;0,01;0,011333333;0,007857143;0,01;0,01;0,009375
Кривий Ріг;4793340;Формальдегiд;0,0153125;0,012875;0,0186875;null;0,015;0,014625;0,016375;0,0174375;0,0171875;0,015;null;0,016533333;0,01405;0,01505;0,0161;0,0176;0,0178;null;0,01925;0,01875;0,0190625;0,0176875;0,0165;0,017875;null;0,015083333;0,016133333;0,016285714;0,017375;0,016533333;0,0169375
Кам'янське;4853460;Завислі речовини;0,3538625;0,349775;0,3414;null;0,2228;0,256825;0,3162125;0,35535;0,3594;0,3421375;null;0,3322875;0,394525;0,368975;0,35575;0,36025;0,3534;null;0,407075;0,44395;0,4614;0,4941;0,4934125;0,53145;null;0,4841375;0,5248125;0,5307;0,4569375;0,4977875;0,43105
Кам'янське;4853460;Дiоксид сiрки;0,00775;0,007875;0,006425;null;0,0072125;0,0089875;0,0077875;0,0082875;0,008525;0,0083625;null;0,008825;0,00885;0,00955;0,0091875;0,0085375;0,0087875;null;0,0091125;0,00935;0,0084875;0,0079625;0,0077125;0,007775;null;0,00805;0,0087375;0,008575;0,008;0,0080125;0,0086125
Кам'янське;4853460;Оксид вуглецю;3,625;3,625;3,375;null;3,5;3,25;3,5;3,75;3,875;3,875;null;3,75;3,625;3,75;3,5;3,25;3,125;null;4;4,125;4,375;4,125;4,375;4,5;null;4,375;4,375;3,125;3;3,5;3
Кам'янське;4853460;Дiоксид азоту;0,12290625;0,13984375;0,1420375;null;0,196933333;0,1595;0,132425;0,08525625;0,11469375;0,113425;null;0,085933333;0,107475;0,120425;0,13803125;0,1802875;0,14653125;null;0,253675;0,15561875;0,11440625;0,1168375;0,12140625;0,107175;null;0,143833333;0,10214375;0,122525;0,0985375;0,1188;0,109625
Кам'янське;4853460;Оксид азоту;0,05685;0,06185;0,0754;null;0,083833333;0,07125;0,066575;0,04835;0,0516;0,060425;null;0,041766667;0,056725;0,048675;0,0587;0,08365;0,059625;null;0,102433333;0,080975;0,054125;0,042;0,034225;0,050825;null;0,0737;0,053425;0,051025;0,0456;0,059475;0,0538
Кам'янське;4853460;Сiрководень;0,004526667;0,004786667;0,004586667;null;0,006972727;0,007246667;0,0063;0,005506667;0,00596;0,00538;null;0,006136364;0,004706667;0,004633333;0,00474;0,00644;0,005126667;null;0,005609091;0,006146667;0,00586;0,005746667;0,005793333;0,00568;null;0,006554545;0,00422;0,005066667;0,00548;0,005293333;0,00542
Кам'янське;4853460;Фенол;0,0054125;0,00634375;0,00595625;null;0,007258333;0,007375;0,0074125;0,00745;0,007075;0,00640625;null;0,005866667;0,00543125;0,0045125;0,004575;0,0050875;0,00509375;null;0,006075;0,0075875;0,00684375;0,00673125;0,00634375;0,0070375;null;0,009033333;0,00764375;0,00548125;0,00564375;0,0057375;0,00508125
Кам'янське;4853460;Амiак;0,0485875;0,0535625;0,0482;null;0,0562375;0,0363;0,04955;0,0682875;0,05355;0,0536375;null;0,0494375;0,04875;0,0474375;0,045475;0,048325;0,0505875;null;0,0511875;0,0517625;0,0572625;0,0564625;0,0521875;0,0589125;null;0,0630875;0,055825;0,05955;0,0574875;0,055975;0,0515
Кам'янське;4853460;Формальдегiд;0,0171125;0,018225;0,0171875;null;0,0161125;0,01855;0,02155;0,0196375;0,0181875;0,0191375;null;0,0198875;0,01675;0,016775;0,0180875;0,0192625;0,020025;null;0,0200125;0,021525;0,0166625;0,0129;0,0116;0,0117;null;0,0108375;0,0118875;0,010925;0,0107125;0,010725;0,01015
Кропивницький;4853220;Завислі речовини;0,283333333;0,316666667;0,233333333;null;0,3;0,383333333;0,3;0,3;0,35;0,25;null;0,283333333;0,3;0,316666667;0,283333333;0,333333333;0,316666667;null;0,25;0,316666667;0,216666667;0,283333333;0,166666667;0,383333333;null;0,25;0,25;0,316666667;0,266666667;0,333333333;0,266666667
Кропивницький;4853220;Дiоксид сiрки;0,018425;0,017008333;0,018433333;null;0,016233333;0,020033333;0,017383333;0,018116667;0,021475;0,017875;null;0,017055556;0,014316667;0,017433333;0,019116667;0,020475;0,021558333;null;0,016788889;0,017825;0,018091667;0,0207;0,021266667;0,018958333;null;0,018677778;0,018108333;0,020975;0,020466667;0,017233333;0,016641667
Кропивницький;4853220;Сульфати;0,005;0,005;0,015;null;0;0,005;0,005;0,01;0;0,005;null;0,005;0;0;0;0;0,005;null;0,01;0,005;0,005;0;0,005;0,01;null;0;0,015;0,005;0,005;0,005;0,015
Кропивницький;4853220;Оксид вуглецю;2,5;3;2,833333333;null;3,666666667;3;3,166666667;2,5;3,666666667;3,833333333;null;2,833333333;2,833333333;2,5;2,333333333;3,166666667;3,166666667;null;2,333333333;3,333333333;2,833333333;3;3,166666667;4,166666667;null;3,833333333;3,666666667;3,5;2,833333333;2,666666667;3
Кропивницький;4853220;Дiоксид азоту;0,024;0,031333333;0,027383333;null;0,029511111;0,029025;0,025116667;0,026541667;0,026858333;0,0311;null;0,025055556;0,025741667;0,028533333;0,0248;0,026041667;0,0245;null;0,030988889;0,026308333;0,024083333;0,020825;0,030975;0,024458333;null;0,029755556;0,021508333;0,025816667;0,023725;0,029375;0,027158333
Кропивницький;4853220;Оксид азоту;0,014175;0,0226;0,01345;null;0,014233333;0,0181;0,013725;0,017125;0,0164;0,017475;null;0,012133333;0,01405;0,026575;0,015;0,0106;0,015375;null;0,020333333;0,014725;0,0165;0,0184;0,016;0,014125;null;0,018633333;0,016325;0,020775;0,013;0,0183;0,01895
