city;coordinateNumber;nameImpurity;1March;2March;4March;5March;6March;7March;8March;9March;11March;12March;13March;14March;15March;16March;18March;19March;20March;21March;22March;23March;25March;26March;27March;28March;29March;30March
Кам'янське;4853460;Фенол;0,0057125;0,0045875;0,005983333;0,00505;0,00545625;0,00575625;0,00576875;0,005775;0,005016667;0,00534375;0,0051125;0,00495;0,00458125;0,00479375;0,0049;0,004625;0,0051625;0,004825;0,0060625;0,0062125;0,00555;0,00465;0,0045625;0,0054375;0,004525;0,005025
Кам'янське;4853460;Амiак;0,051375;0,050975;0,0507;0,049;0,0518125;0,0467375;0,044;0,044825;0,049575;0,0491625;0,050675;0,0440875;0,0478;0,051475;0,04855;0,047075;0,04785;0,04905;0,04735;0,047975;0,054;0,049475;0,0533;0,04685;0,0549;0,0475
Кам'янське;4853460;Формальдегiд;0,006175;0,0072;0,0051;0,005625;0,0073125;0,0115875;0,009;0,0087375;0,01025;0,0083875;0,00785;0,0109625;0,005975;0,005625;0,0057;0,0073625;0,005625;0,00785;0,007625;0,0066;0,009075;0,00865;0,008425;0,0092;0,009925;0,01075
Краматорськ;4873760;Завислі речовини;0,075;0,1;0,15;0,15;0,125;0,15;0,175;0,075;0,1;0,15;0,05;0,1;0,325;0,075;0,075;0,125;0,125;0,125;0,1;0,1;0,1;0,075;0,05;0,1;0,15;0,175
Краматорськ;4873760;Дiоксид сiрки;0,006275;0,005675;0,0028;0,002425;0,0029;0,006475;0,0029;0,001875;0,00235;0,00315;0,001;0,0019;0,0007;0,00065;0,00195;0,002475;0,00165;0,002525;0,001275;0,002725;0,003275;0,001775;0,000375;0,0014;0,00105;0,0015
Краматорськ;4873760;Оксид вуглецю;2;1,5;2,25;1,5;1,5;1,5;2,75;2,5;2;1,25;1,25;2;1,5;5;1,5;1,25;1,25;1;2,5;3,25;1,25;1,25;1,75;1,5;4,75;3,25
Краматорськ;4873760;Дiоксид азоту;0,1058;0,080675;0,08225;0,097575;0,06765;0,132475;0,130875;0,0449;0,094925;0,0369;0,05145;0,11955;0,08185;0,065025;0,103475;0,1122;0,05845;0,07475;0,10415;0,115325;0,092675;0,029975;0,038025;0,048625;0,08055;0,104225
Краматорськ;4873760;Фенол;0,000825;0,00145;0,001775;0,00255;0,0029;0,005275;0,005325;0,005225;0,004525;0,0021;0,0033;0,0023;0,004925;0,003175;0,003275;0,00475;0,003325;0,001575;0,000925;0,00065;0,001975;0,002725;0,00185;0,001875;0,00285;0,000925
Краматорськ;4873760;Фтористий водень;0,00735;0,008375;0,011475;0,007325;0,00725;0,007475;0,0077;0,006675;0,0076;0,009175;0,0074;0,010975;0,0069;0,00845;0,009525;0,005775;0,006475;0,0125;0,01265;0,01095;0,009175;0,0069;0,003725;0,00595;0,0043;0,005125
Краматорськ;4873760;Формальдегiд;0,0006;0,022525;0,0049;0,0043;0,0047;0,0041;0,010675;0,00635;0,01185;0,004575;0,00415;0,007;0,005;0,0053;0,017475;0,011;0,012725;0,00915;0,006675;0,00765;0,006575;0,003675;0,004975;0,004875;0,004625;0,0034
Кропивницький;4853220;Завислі речовини;0,166666667;0,216666667;0,233333333;0,2;0,2;0,183333333;0,233333333;0,2;0,2;0,233333333;0,166666667;0,25;0,15;0,25;0,216666667;0,183333333;0,2;0,216666667;0,2;0,216666667;0,2;0,2;0,2;0,183333333;0,35;0,266666667
Кропивницький;4853220;Дiоксид сiрки;0,0193;0,020016667;0,016022222;0,0173;0,019341667;0,017391667;0,016508333;0,020991667;0,016177778;0,018825;0,0217;0,016925;0,016716667;0,017583333;0,016577778;0,017583333;0,017791667;0,022041667;0,015125;0,018566667;0,0212;0,014391667;0,016775;0,022133333;0,016758333;0,016075
Кропивницький;4853220;Сульфати;0,005;0,005;0;0,005;0,005;0,005;0,01;0;0,01;0,005;0,005;0,005;0,005;0,005;0,01;0,005;0;0,005;0,005;0,005;0,005;0;0;0;0,01;0,02
Кропивницький;4853220;Оксид вуглецю;2,666666667;1,5;1,666666667;1,833333333;1,166666667;1,5;2,166666667;1,833333333;1,5;2,166666667;1,333333333;1,666666667;1,5;2,333333333;1,833333333;2,166666667;2,166666667;2,5;2,333333333;2,5;2;1,833333333;2;2,166666667;2,833333333;3,333333333
Кропивницький;4853220;Дiоксид азоту;0,026166667;0,033366667;0,025622222;0,026766667;0,029433333;0,030583333;0,028008333;0,031675;0,027422222;0,031866667;0,028133333;0,030233333;0,027733333;0,027;0,0264;0,0339;0,024275;0,026141667;0,033841667;0,02835;0,026144444;0,026833333;0,035608333;0,026033333;0,031791667;0,029966667
Кропивницький;4853220;Оксид азоту;0,0147;0,02475;0,012633333;0,01485;0,021025;0,01445;0,0141;0,02355;0,0134;0,019075;0,0128;0,022925;0,012475;0,01995;0,0136;0,01725;0,01095;0,021225;0,013675;0,0182;0,0182;0,016325;0,021675;0,014525;0,0189;0,019975
Кропивницький;4853220;Сажа;0,041666667;0,031666667;0,053333333;0,05;0,026666667;0,031666667;0,028333333;0,025;0,026666667;0,026666667;0,023333333;0,035;0,03;0,035;0,016666667;0,015;0,02;0,031666667;0,016666667;0,035;0,02;0,021666667;0,02;0,026666667;0,018333333;0,018333333
Кропивницький;4853220;Формальдегiд;0,003766667;0,0043;0,006333333;0,003033333;0,001733333;0,003;0,002533333;0,004533333;0,0038;0,004033333;0,003;0,002533333;0,004;0,0028;0,001766667;0,002833333;0,0041;0,0018;0,0018;0,003133333;0,002633333;0,003333333;0,0036;0,002333333;0,0013;0,0021
Світловодськ;4903340;Завислі речовини;0,15;0,1;null;0;0,1;0;0,05;0,05;null;0,1;0,1;0;0;0;null;0,05;0;0,1;0,05;0,05;null;0;0,1;0;0;null
