city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Тернопіль;4932530;Дiоксид сiрки;0,0044;0,0030375;0,00295;0,003825;0,003825;0,00135;0,0038875;0,0057375;0,005775;0,0054;0,0049375;0,004775;0,002275;0,0009;0,00225;0,00135;0,0033375;0,0036;0,00245;0,0026125;0,002925;0,0045375;0,003825;0,0018;0,0045;0,003375
Тернопіль;4932530;Оксид вуглецю;2,95;2,45;2,45;2,475;3,2;2,725;2,875;2,775;3,05;3,175;2,55;3;1,75;3,05;3,225;3;3,175;2,35;2,975;2,85;2,775;2,525;2,85;2,55;2,4;2,075
Тернопіль;4932530;Дiоксид азоту;0,066175;0,0472625;0,0396875;0,0473625;0,0619875;0,0592875;0,0645625;0,0546125;0,0598375;0,0576625;0,0544125;0,0541375;0,056525;0,0509125;0,042525;0,0431625;0,040475;0,045225;0,0433625;0,033975;0,0422;0,039675;0,0432125;0,042425;0,0502;0,0441375
Тернопіль;4932530;Оксид азоту;0,03225;0,0261;0,021325;0,0261;0,034875;0,03335;0,03695;0,030725;0,033825;0,03255;0,03045;0,029775;0,031725;0,028575;0,0232;0,02315;0,0224;0,024975;0,02385;0,018275;0,02275;0,021325;0,02315;null;0,028175;0,02425
Тернопіль;4932530;Формальдегiд;0,0026;0,0018;0,001975;0,0022875;0,0027125;0,0010875;0,002675;0,003375;0,0039375;0,003375;0,00425;0,0038375;0,0012375;0,0005625;0,0017375;0,0007625;0,0018625;0,00305;0,0012125;0,0018;0,00165;0,002075;0,002075;0,0011;0,003175;0,0030625
Харків;4993630;Завислі речовини;0,085333333;0,09175;0,0705;0,076;0,068;0,0735;0,07;0,06375;0,07225;0,07475;0,0765;0,0725;0,080666667;0,07225;0,07375;0,0585;0,07125;0,07525;0,083666667;0,0855;0,0775;0,07725;0,07825;0,07225;0,111666667;0,109
Харків;4993630;Дiоксид сiрки;0,013553333;0,01171;0,0127325;0,0133275;0,011975;0,01162;0,012116667;0,0121175;0,011725;0,0111525;0,010535;0,0108675;0,013433333;0,0115125;0,0139275;0,010865;0,01034;0,0111225;0,01064;0,01043;0,011035;0,0102875;0,011035;0,0110075;0,011403333;0,0109525
Харків;4993630;Сульфати;0;0;0;0;0;0;0;0;0;0;0;0;0,003333333;0;0,0025;0;0,0025;0;0;0,005;0;0;0;0;0,006666667;0,0025
Харків;4993630;Оксид вуглецю;1,23;1,255;1,26;1,195;1,155;1,195;1,45;1,43;1,47;1,565;1,365;1,24;1,235;1,23;1,34;1,335;1,285;1,21;1,35;1,295;1,31;1,51;1,475;1,37;1,325;1,205
Харків;4993630;Дiоксид азоту;0,03338;0,03277;0,03216;0,024305;0,0272475;0,029875;0,025986667;0,0268925;0,0222225;0,022635;0,0212675;0,0251025;0,02828;0,029715;0,029585;0,03057;0,0290675;0,0226775;0,026686667;0,025;0,0258525;0,028995;0,0286025;0,029345;0,032403333;0,0300675
Харків;4993630;Оксид азоту;0,021266667;0,01605;0,016275;0,01385;0,0194;0,0135;0,016166667;0,015525;0,019625;0,018825;0,019625;0,01785;0,020366667;0,02585;0,02075;0,0207;0,024775;0,0251;0,016033333;0,018275;0,0252;0,01245;0,0171;0,0169;0,021;0,023825
Харків;4993630;Сiрководень;0,000233333;0,00035;0,000425;0,000225;0,000275;0,0003;0,000533333;0,000575;0,000875;0,000225;0,0007;0,00035;0,000366667;0,0003;0,0003;0,0002;0,000175;0,000225;0,000666667;0,0006;0,00055;0,000325;0,00045;0,0004;0,0003;0,0005
Харків;4993630;Фенол;0,002511111;0,003008333;0,002383333;0,0024;0,00275;0,002341667;0,003211111;0,002741667;0,00255;0,0024;0,002858333;0,003058333;0,001766667;0,0016;0,001741667;0,002541667;0,002183333;0,002641667;0,001544444;0,002308333;0,001666667;0,002375;0,002916667;0,002775;0,002744444;0,003275
Харків;4993630;Сажа;0,01;0,0225;0,015;0,015;0,0075;0;0,02;0,015;0,045;0,0225;0,035;0,015;0,03;0,015;0,015;0,0075;0,015;0,0075;0,02;0,0075;0,0075;0;0,0225;0,0225;0,02;0,0075
Харків;4993630;Амiак;0,00655;0,0036375;0,004425;0,004325;0,00515;0,005725;0,0024;0,0035625;0,003075;0,0041;0,0062;0,0052625;0,003533333;0,0026625;0,0022625;0,0067875;0,0035;0,0030375;0,00115;0,0017375;0,0043625;0,001775;0,0018;0,002675;0,004116667;0,0070375
Харків;4993630;Формальдегiд;0,002;0,002310714;0,002225;0,001510714;0,001957143;0,001539286;0,00227619;0,002060714;0,002382143;0,00225;0,001514286;0,001675;0,002828571;0,002342857;0,001782143;0,002067857;0,001728571;0,001207143;0,003057143;0,003260714;0,004053571;0,003446429;0,002796429;0,003110714;0,003766667;0,003728571
Хмельницький;4942690;Завислі речовини;0,223;0,11875;0,076;0,083;0,083;0,092;0,1505;0,136;0,1695;0,0915;0,12475;0,09175;0,10075;0,08425;0,067;0,07475;0,116;0,03325;0,0495;0,04975;0,07575;0,04225;0,05025;0,04175;0,08375;0,13275
Хмельницький;4942690;Дiоксид сiрки;0,0169125;0,015775;0,016675;0,015875;0,0166375;0,015125;0,015875;0,0165875;0,016325;0,0173125;0,017475;0,0189375;0,0168625;0,01325;0,016175;0,01605;0,0130125;0,0141125;0,0147375;0,015375;0,016025;0,017725;0,01555;0,016325;0,01665;0,0172625
Хмельницький;4942690;Сульфати;0,01295;0,015025;0,013225;0,0124;0,01135;0,011525;0,0115;0,013975;0,012025;0,012975;0,011825;0,01265;0,01265;0,011575;0,011575;0,01195;0,012025;0,011275;0,011425;0,011425;0,01185;0,0122;0,011075;0,011825;0,010475;0,0106
Хмельницький;4942690;Оксид вуглецю;1,845;1,7175;1,705;1,61;1,68;1,7175;2,07;1,91;2,0625;1,8475;1,805;1,99;1,8875;1,6975;1,45;1,27;1,2325;1,27;1,415;1,4725;1,4125;1,68;1,645;1,6625;1,9675;2,05
Хмельницький;4942690;Дiоксид азоту;0,0295125;0,0419375;0,0421625;0,025125;0,0268625;0,0241375;0,034225;0,0401125;0,0432125;0,046975;0,0362625;0,02905;0,029325;0,0407875;0,031925;0,0334125;0,0323;0,0350875;0,039175;0,037025;0,039825;0,0318875;0,035125;0,033125;0,0343875;0,0494
Хмельницький;4942690;Оксид азоту;0,0247;0,033;0,0344375;0,0205125;0,0228875;0,02285;0,0293375;0,026025;0,0333625;0,0301375;0,026275;0,02285;0,02915;0,0311625;0,0287875;0,0294125;0,024325;0,0289;0,0308375;0,028425;0,0301;0,0305;0,0262;0,0269875;0,031275;0,0364875
Хмельницький;4942690;Фенол;0,001283333;0,000816667;0,0008;0,000516667;0,0008;0,00135;0,001583333;0,000866667;0,0008;0,000516667;0,00085;0,00065;0,001016667;0,001233333;0,00125;0,0009;0,001683333;0,001033333;0,0009;0,001;0,001233333;0,000716667;0,001066667;0,0009;0,000866667;0,001783333
Хмельницький;4942690;Хлористий водень;0,034825;0,035925;0,041575;0,041625;0,050225;0,042875;0,043225;0,03685;0,03675;0,0595;0,053075;0,05145;0,0483;0,0403;0,035475;0,0487;0,047975;0,042475;0,044675;0,03235;0,03465;0,08635;0,066925;0,050925;0,0409;0,0449
Хмельницький;4942690;Амiак;0,005225;0,008175;0,005975;0,004025;0,0067;0,007225;0,00925;0,01465;0,010325;0,010725;0,009625;0,008325;0,0114;0,01575;0,011025;0,010175;0,0088;0,0075;0,00715;0,004775;0,0054;0,007875;0,006175;0,00805;0,01045;0,0099
Хмельницький;4942690;Формальдегiд;0,0013;0,000916667;0,000916667;0,001033333;0,001;0,001033333;0,0011;0,000966667;0,0013;0,001266667;0,001;0,001016667;0,001283333;0,00165;0,002033333;0,001883333;0,000983333;0,0009;0,0015;0,001516667;0,002666667;0,002416667;0,001033333;0,001166667;0,001133333;0,000766667
Херсон;4673270;Завислі речовини;0,05;0;0;0,05;0,05;null;0,025;0,05;0,075;0,025;0,1;null;0,075;0,075;0,05;0,025;0;null;0;0,05;0,025;0,05;0,025;null;0,05;0,025
Херсон;4673270;Дiоксид сiрки;0,025142857;0,003;0,000666667;0;0,000777778;null;0,001714286;0,000666667;0,000666667;0,001444444;0;null;0;0,002333333;0,000666667;0,000777778;0;null;0,001285714;0,001888889;0,000666667;0,0015;0,003222222;null;0,002571429;0,002777778
