city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Запоріжжя;4793510;Сiрководень;0,002663636;0,002390909;0,002690909;0,002818182;0,002988889;0,003163636;0,003354545;0,003472727;0,003063636;0,003018182;0,003755556;0,003272727;0,002990909;0,003009091;0,003554545;0,003609091;0,003477778;0,003281818;0,002781818;0,003245455;0,003581818;0,003818182;0,003177778;0,003763636;0,003054545;0,002309091;0,003254545
Запоріжжя;4793510;Фенол;0,0079;0,00613;0,00618;0,00535;0,004888889;0,00512;0,007122222;0,00605;0,00516;0,00557;0,005433333;0,00654;0,00621;0,00673;0,00682;0,00715;0,006511111;0,00476;0,00533;0,005;0,00697;0,00696;0,006444444;0,006;0,00692;0,00483;0,00502
Запоріжжя;4793510;Фтористий водень;0;0;0;0,000175;0;0;0;0,00045;0,000175;0,00035;0,000233333;0,00015;0;0,00045;0;0;0;0;0;0,00035;0,00045;0,001175;0;0,001075;0,001;0;0
Запоріжжя;4793510;Хлористий водень;0,0428875;0,034025;0,03575;0,0338125;0,033366667;0,0449875;0,035271429;0,0436125;0,033325;0,0449125;0,039216667;0,0421125;0,038425;0,0358125;0,0349;0,03945;0,040183333;0,0342875;0,0358625;0,038625;0,0491375;0,05625;0,0399;0,060925;0,034625;0,040725;0,04275
Запоріжжя;4793510;Формальдегiд;0,0067;0,005875;0,0051;0,00665;0,0079;0,00695;0,00695;0,0074;0,004925;0,007425;0,004166667;0,00735;0,0074;0,0066;0,0058;0,006725;0,005633333;0,0042;0,0039;0,00445;0,005125;0,0062;0,008066667;0,006625;0,006825;0,0042;0,005825
Івано-Франківськ;4892470;Завислі речовини;0,15;0,14;0,15;0,16;0,145;0,16;0,145;0,145;0,14;0,15;0,15;0,15;0,15;0,16;0,15;0,145;0,145;0,145;0,16;0,145;0,145;0,145;0,145;0,15;0,12;0,135;0,145
Івано-Франківськ;4892470;Дiоксид сiрки;0,00505;0,003525;0,004;0,004325;0,0024;0,0024;0,004625;0,0039;0,003525;0,003525;0,003525;0,00545;0,01295;0,00545;0,0055;0,00355;0,0048;0,00285;0,00365;0,00405;0,003575;0,004;0,003975;0,00395;0,003575;0,004;0,00485
Івано-Франківськ;4892470;Оксид вуглецю;1,85;1,7;1,8;2,25;1,85;2,25;1,95;1,8;1,7;1,8;1,85;2,05;1,95;2,05;1,95;2;1,8;1,8;2,05;1,8;1,75;1,8;1,8;1,95;1,4;1,65;2,15
Івано-Франківськ;4892470;Дiоксид азоту;0,039275;0,04535;0,0476;0,052325;0,048125;0,05125;0,0521;0,055225;0,0561;0,059025;0,05195;0,069675;0,05375;0,053825;0,049775;0,04445;0,054775;0,056725;0,0491;0,05325;0,041125;0,0508;0,052275;0,0545;0,050775;0,070825;0,0571
Івано-Франківськ;4892470;Оксид азоту;0,025825;0,03065;0,0305;0,03415;0,03355;0,03535;0,0347;0,035125;0,0368;0,038175;0,03345;0,0447;0,035675;0,0354;0,0341;0,030875;0,03565;0,036875;0,03185;0,03475;0,027675;0,03325;0,0341;0,035075;0,03285;0,045425;0,03935
