city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;
Івано-Франківськ;4892470;Оксид вуглецю;1,75;null;1,55;1,3;1,65;1,55;1,7;1,85;null;1,7;1,35;1,3;1,85;1,8;1,75;null;1,35;1,25;1,85;1,35;1,85;1,95;null;1,8;1,65;1,75;1,65;1,75;;;
Івано-Франківськ;4892470;Дiоксид азоту;0,0404;null;0,040075;0,042425;0,030575;0,029575;0,030625;0,028325;null;0,028525;0,0249;0,029325;0,028575;0,027625;0,03005;null;0,0269;0,027475;0,0381;0,039725;0,0337;0,038625;null;0,062725;0,05145;0,051875;0,0576;0,0603;;;
Івано-Франківськ;4892470;Оксид азоту;0,02745;null;0,02655;0,02905;0,020425;0,0205;0,0215;0,020825;null;0,02025;0,018425;0,020375;0,01955;0,01975;0,020475;null;0,020025;0,02075;0,0261;0,026725;0,02305;0,025675;null;0,04145;0,034225;0,034125;0,037975;0,0389;;;
Дніпро;4863510;Завислі речовини;0,1625;null;0,275;0,25;0,2875;0,225;0,225;0,175;null;0,25;0,25;0,25;0,3625;0,2625;0,15;null;0,2;0,2875;0,2625;0,2375;0,1875;0,1625;null;0,2;0,2;0,2;0,1875;0,2125;;;
Дніпро;4863510;Дiоксид сiрки;0,012416667;null;0,009222222;0,013875;0,013125;0,011291667;0,008916667;0,007916667;null;0,009444444;0,01125;0,010458333;0,010458333;0,00875;0,012125;null;0,0095;0,010833333;0,014958333;0,014458333;0,009875;0,012916667;null;0,021166667;0,013;0,010291667;0,011625;0,012666667;;;
Дніпро;4863510;Оксид вуглецю;2,166666667;null;1,833333333;2,166666667;2,5;1,916666667;2,5;2;null;2,25;2,166666667;1,916666667;2,416666667;2,5;2,333333333;null;2,333333333;2,333333333;3;2,75;2,083333333;1,916666667;null;2,083333333;2,333333333;2;1,916666667;2,416666667;;;
Дніпро;4863510;Дiоксид азоту;0,076666667;null;0,113333333;0,079166667;0,06875;0,059583333;0,062083333;0,059583333;null;0,073888889;0,072916667;0,08125;0,1025;0,075;0,0675;null;0,07;0,087916667;0,10125;0,069166667;0,07125;0,069583333;null;0,080555556;0,079166667;0,087083333;0,082083333;0,102916667;;;
Дніпро;4863510;Оксид азоту;0,03;null;0,046666667;0,035;0,0325;0,0275;0,0325;0,0275;null;0,046666667;0,035;0,04;0,0425;0,035;0,03;null;0,033333333;0,035;0,035;0,03;0,0275;0,0325;null;0,03;0,0375;0,0425;0,0475;0,05;;;
Дніпро;4863510;Сiрководень;0,002833333;null;0,001;0,003708333;0,002791667;0,001291667;0,001;0,001041667;null;0,001666667;0,001708333;0,001416667;0,003583333;0,001125;0,00275;null;0,0015;0,001583333;0,00325;0,002;0,001416667;0,00275;null;0,006277778;0,003875;0,001375;0,002291667;0,003583333;;;
Дніпро;4863510;Фенол;0,001833333;null;0,002333333;0,0015;0,002416667;0,002416667;0,003;0,00075;null;0,003555556;0,003416667;0,00275;0,003166667;0,002666667;0,002583333;null;0,001;0,001166667;0,00275;0,002833333;0,002;0,001583333;null;0,002666667;0,00175;0,0035;0,002833333;0,00175;;;
Дніпро;4863510;Амiак;0,0325;null;0,038333333;0,02875;0,03125;0,025;0,0325;0,02;null;0,028333333;0,0225;0,02125;0,03;0,03375;0,025;null;0,023333333;0,0325;0,035;0,03125;0,02375;0,025;null;0,026666667;0,025;0,03;0,03875;0,03625;;;
Дніпро;4863510;Формальдегiд;0,012916667;null;0,011111111;0,00975;0,008916667;0,007583333;0,00775;0,008666667;null;0,008555556;0,007833333;0,009083333;0,011416667;0,011833333;0,011666667;null;0,01;0,009166667;0,01075;0,008166667;0,008083333;0,0095;null;0,01;0,009916667;0,009916667;0,011416667;0,011;;;
Кривий Ріг;4793340;Завислі речовини;0;null;0,2;0,2;0,11;0,14;0,17;0,19;null;0,28;0,32;0,39;0,48;0,49;0;null;0,18;0,2;0,12;0,13;0,17;0,2;null;0,21;0,2;0,32;0,33;0,27;;;
Кривий Ріг;4793340;Дiоксид сiрки;0,005615385;null;0,0239;0,018;0,019615385;0,024;0,022692308;0,019923077;null;0,0245;0,024076923;0,024615385;0,025153846;0,040615385;0,012769231;null;0,0238;0,021538462;0,022846154;0,021538462;0,018769231;0,021230769;null;0,0257;0,026076923;0,037076923;0,031461538;0,023923077;;;
Кривий Ріг;4793340;Оксид вуглецю;1,2;null;1;1;1;1;1;1;null;1;1;1,2;1,3;1,9;1;null;1,3;1,3;0,903;0,902;1;1;null;1;1;1,8;1,8;1,1;;;
Кривий Ріг;4793340;Дiоксид азоту;0,03;null;0,029;0,023076923;0,017692308;0,02;0,023076923;0,02;null;0,032;0,024615385;0,022307692;0,024615385;0,043076923;0,016153846;null;0,053;0,023076923;0,023076923;0,021538462;0,019230769;0,019230769;null;0,02;0,022307692;0,040769231;0,027692308;0,022307692;;;
Кривий Ріг;4793340;Оксид азоту;0,023333333;null;0,025;0,01;0,013333333;0,016666667;0,013333333;0,013333333;null;0,015;0,01;0,013333333;0,016666667;0,023333333;0,006666667;null;0,05;0,02;0,013333333;0,016666667;0,013333333;0,013333333;null;0,01;0,013333333;0,023333333;0,016666667;0,02;;;
Кривий Ріг;4793340;Сiрководень;0,0012;null;0,001;0,0009;0,0009;0,001;0,0009;0,0008;null;0,001;0,0011;0,0011;0,0012;0,0019;0,0009;null;0,0012;0,0011;0,001;0,0009;0,0007;0,0006;null;0,0009;0,0009;0,0011;0,0014;0,001;;;
Кривий Ріг;4793340;Фенол;0,0027;null;0,001666667;0,00135;0,00145;0,00155;0,0015;0,0012;null;0,0018;0,00195;0,00195;0,00205;0,0037;0,00125;null;0,002066667;0,00185;0,0018;0,00135;0,0012;0,0013;null;0,001133333;0,0013;0,00215;0,0023;0,0021;;;
Кривий Ріг;4793340;Амiак;0,0115;null;0,01;0,01;0,01;0,01;0,01;0,009;null;0,01;0,01;0,0095;0,0105;0,0155;0,0095;null;0,011333333;0,0105;0,0095;0,0095;0,0085;0,009;null;0,01;0,0095;0,01;0,01;0,01;;;
Кривий Ріг;4793340;Формальдегiд;0,0094;null;0,0092;0,00865;0,01035;0,00855;0,008;0,0082;null;0,010333333;0,01095;0,0075;0,01075;0,0138;0,0071;null;0,008133333;0,0102;0,0079;0,0083;0,0092;0,00805;null;0,0076;0,0067;0,0081;0,0074;0,0077;;;
Кам'янське;4853460;Завислі речовини;0,2177;null;0,233425;0,27835;0,1274;0,1331375;0,22705;0,15725;null;0,126825;0,227625;0,24115;0,3288125;0,22295;0,15445;null;0,172775;0,178275;0,2293125;0,114525;0,1773125;0,176725;null;0,230025;0,242925;0,18455;0,2209125;0,2019125;;;
Кам'янське;4853460;Дiоксид сiрки;0,00645;null;0,006;0,00615;0,005675;0,005925;0,00615;0,0053;null;0,005025;0,0056375;0,005575;0,0050875;0,0048;0,0044625;null;0,004175;0,0043375;0,0039375;0,00605;0,0049375;0,003925;null;0,006275;0,004925;0,0048125;0,0047375;0,0056;;;
Кам'янське;4853460;Оксид вуглецю;3;null;3;2,625;2,75;2,75;2,25;3,125;null;3,375;2,875;2,875;2,875;2,75;2,25;null;2,375;2,375;2,75;3,125;3;2,875;null;3;2,625;2,75;2,5;2,75;;;
Кам'янське;4853460;Дiоксид азоту;0,08614375;null;0,100216667;0,08060625;0,0988125;0,12099375;0,110875;0,11018125;null;0,122408333;0,08656875;0,09244375;0,12306875;0,09430625;0,082625;null;0,09515;0,1225625;0,10404375;0,10561875;0,11961875;0,10480625;null;0,104425;0,1139875;0,0963;0,09111875;0,10545;;;
Кам'янське;4853460;Оксид азоту;0,039675;null;0,039933333;0,04555;0,048675;0,057125;0,0532;0,040725;null;0,066266667;0,0453;0,0581;0,067;0,0543;0,04085;null;0,046166667;0,054375;0,054025;0,05065;0,06275;0,05385;null;0,053533333;0,061275;0,047025;0,0426;0,0487;;;
Кам'янське;4853460;Сiрководень;0,004946667;null;0,005545455;0,00456;0,00414;0,003566667;0,003986667;0,004566667;null;0,004990909;0,004393333;0,00424;0,003853333;0,004;0,00248;null;0,0034;0,003413333;0,00308;0,00452;0,004053333;0,00396;null;0,002636364;0,003386667;0,00314;0,003646667;0,004353333;;;
Кам'янське;4853460;Фенол;0,0057375;null;0,005258333;0,00483125;0,0045375;0,00538125;0,00781875;0,005;null;0,008133333;0,00565;0,00544375;0,00513125;0,0051875;0,0057625;null;0,004491667;0,00628125;0,0054;0,0053125;0,0052875;0,004825;null;0,006025;0,0047;0,00556875;0,00559375;0,005125;;;
Кам'янське;4853460;Амiак;0,0459625;null;0,04715;0,0473;0,0429;0,04205;0,0426625;0,0443;null;0,0537625;0,044425;0,0436875;0,045;0,0364125;0,0258125;null;0,0266625;0,0365875;0,0379875;0,037475;0,0372;0,0336375;null;0,0442;0,03545;0,0453625;0,0440875;0,0429375;;;
Кам'янське;4853460;Формальдегiд;0,0090375;null;0,0069125;0,007475;0,006775;0,0065125;0,007225;0,0069375;null;0,007375;0,008875;0,0086125;0,007625;0,0061625;0,0056125;null;0,0053625;0,0053;0,005625;0,007025;0,0061;0,0047375;null;0,0055125;0,0057;0,0055;0,0064375;0,0075125;;;
Кропивницький;4853220;Завислі речовини;0,183333333;null;0,15;0,166666667;0,15;0,183333333;0,15;0,166666667;null;0,2;0,133333333;0,133333333;0,2;0,15;0,15;null;0,15;0,15;0,133333333;0,116666667;0,116666667;0,15;null;0,116666667;0,133333333;0,166666667;0,183333333;0,166666667;;;
Кропивницький;4853220;Дiоксид сiрки;0,018866667;null;0,019322222;0,025358333;0,016333333;0,017266667;0,019375;0,013608333;null;0,017266667;0,022716667;0,01425;0,0246;0,019425;0,021325;null;0,022344444;0,020391667;0,020908333;0,019675;0,0172;0,021091667;null;0,018244444;0,01915;0,017991667;0,017675;0,017016667;;;
Кропивницький;4853220;Сульфати;0,005;null;0,01;0,01;0,005;0;0,01;0;null;0,005;0,01;0,005;0;0,015;0,005;null;0,005;0,005;0,01;0;0,005;0,005;null;0;0,015;0,01;0,015;0,01;;;
Кропивницький;4853220;Оксид вуглецю;2,333333333;null;3,166666667;1,666666667;1,666666667;1,5;1,666666667;1,5;null;1;1,5;1,333333333;1,666666667;1,5;1,666666667;null;2;1,833333333;2,166666667;2;1,666666667;1,666666667;null;3;1,666666667;2;2,333333333;2,166666667;;;
Кропивницький;4853220;Дiоксид азоту;0,03575;null;0,021888889;0,033875;0,0286;0,029933333;0,029358333;0,028125;null;0,023277778;0,025075;0,028616667;0,031475;0,029625;0,03265;null;0,023977778;0,035875;0,0239;0,033116667;0,0233;0,032816667;null;0,025477778;0,03215;0,025608333;0,024241667;0,024766667;;;
Кропивницький;4853220;Оксид азоту;0,020725;null;0,0169;0,01815;0,016975;0,01945;0,01855;0,012225;null;0,014;0,014175;0,016875;0,021925;0,015625;0,01715;null;0,0146;0,018425;0,017325;0,0218;0,012325;0,01935;null;0,012566667;0,015875;0,01475;0,01875;0,014175;;;
Кропивницький;4853220;Сажа;0,021666667;null;0,015;0,016666667;0,021666667;0,025;0,016666667;0,013333333;null;0,025;0,03;0,021666667;0,04;0,021666667;0,02;null;0,035;0,03;0,028333333;0,04;0,036666667;0,023333333;null;0,083333333;0,031666667;0,056666667;0,025;0,06;;;
Кропивницький;4853220;Формальдегiд;0,003466667;null;0,006966667;0,0032;0,004266667;0,003466667;0,003433333;0,002933333;null;0,005866667;0,0064;0,002666667;0,003966667;0,006233333;0,003266667;null;0,0032;0,0032;0,006933333;0,004;0,002133333;0,004233333;null;0,005066667;0,005066667;0,005366667;0,0032;0,0032;;;
Світловодськ;4903340;Завислі речовини;0;null;null;0;0,05;0,05;0,1;0;null;null;0,05;0,05;0,05;0,05;0,05;null;null;0;0;0;0,05;0;null;null;0;0,05;0,05;0,1;;;
Світловодськ;4903340;Дiоксид сiрки;0,008266667;null;null;0,008166667;0,022533333;0,010266667;0,016266667;0,008133333;null;null;0,0286;0,016366667;0,024733333;0,018833333;0,014633333;null;null;0,014433333;0,012366667;0,028766667;0,034666667;0,010166667;null;null;0,024833333;0,028833333;0,014366667;0,006166667;;;
Світловодськ;4903340;Сульфати;0,01;null;null;0,01;0;0,005;0;0,005;null;null;0,005;0,005;0;0,005;0;null;null;0,005;0,01;0;0;0;null;null;0,01;0,01;0,01;0,005;;;
Світловодськ;4903340;Оксид вуглецю;1;null;null;1;0,5;0,5;1;1,5;null;null;1;0,5;0;1;0;null;null;1;1;1;1;1;null;null;1;1;1;1;;;
Світловодськ;4903340;Дiоксид азоту;0,057866667;null;null;0,030266667;0,037133333;0,040466667;0,036833333;0,0468;null;null;0,023566667;0,023333333;0,0202;0,044266667;0,020433333;null;null;0,0336;0,0302;0,023433333;0,033266667;0,0233;null;null;0,030333333;0,023466667;0,046666667;0,0201;;;
Світловодськ;4903340;Оксид азоту;0,055433333;null;null;0,035066667;0,017566667;0,032933333;0,028366667;0,030466667;null;null;0,0198;0,0088;0,037666667;0,026933333;0,017966667;null;null;0,022133333;0,011033333;0,008833333;0,0197;0,0175;null;null;0,028866667;0,0199;0,0483;0,019833333;;;
Світловодськ;4903340;Формальдегiд;0,001066667;null;null;0,0021;0,001066667;0;0,001066667;0;null;null;0;0,001066667;0,001066667;0,0011;0;null;null;0;0,001066667;0,004266667;0,003166667;0,001066667;null;null;0;0,001066667;0,001066667;0,001066667;;;
Львів;4982410;Завислі речовини;0,12;null;0,11625;0,10625;0,11;0,11375;0,11625;0,12375;null;0,1125;0,105;0,11625;0,1025;0,105;0,10875;null;0,1025;0,11625;0,12625;0,10375;0,12625;0,12375;null;0,15875;0,14375;0,1425;0,13125;0,08;;;
