city;coordinateNumber;nameImpurity;1June;3June;4June;5June;6June;7June;8June;10June;11June;12June;13June;14June;15June;17June;18June;19June;20June;21June;22June;24June;25June;26June;27June;28June;29June
Черкаси;4933200;Амiак;0,041;0,07;0,046666667;0,032727273;0,0375;0,035555556;0,068888889;0,084444444;0,073333333;0,080833333;0,0675;0,0525;0,061666667;0,07375;0,054166667;0,050833333;0,054444444;0,052727273;0,058333333;0,035;0,034444444;0,047;0,0625;0,056;0,075833333
Черкаси;4933200;Формальдегiд;0,0085;0,009;0,01525;0,01375;0,0105;0,010333333;0,011333333;0,007666667;0,00425;0,00775;0,007;0,005;0,004;0,006;0,008;0,0125;0,013;0,0065;0,008;0,008;0,006666667;0,0255;0,0155;0,014;0,011
Чернівці;4832590;Завислі речовини;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0,033333333;0;0;0;0;0;0;0;0;0;0;0;0
Чернівці;4832590;Дiоксид сiрки;0,003608333;0,002108333;0,0009;0,001208333;0,002141667;0,0009;0,00075;0,003075;0,001525;0,0018;0,003283333;0,002341667;0,000891667;0,0018;0,0011125;0,001875;0,007442857;0,0047625;0,0016;0,0001375;0,0018125;0,0011375;0,0004625;0,0020625;0,0011375
Чернівці;4832590;Оксид вуглецю;0;0;0,166666667;0;0;0;0,166666667;0;0,333333333;0;0,166666667;0;0;0,25;0;0;0;0;0;0;0,25;0;0;0;0,25
Чернівці;4832590;Дiоксид азоту;0,012541667;0,022416667;0,022308333;0,015233333;0,017333333;0,020058333;0,0325;0,025491667;0,02155;0,009366667;0,007766667;0,012575;0,01005;0,01945;0,008;0,014025;0,0072;0,0152875;0,011025;0,0165375;0,00615;0,006475;0,013475;0,01955;0,0196625
Чернівці;4832590;Оксид азоту;0,0025;0,00365;0,02565;0,0073;0,01035;0,02705;0,021125;0,005125;0,004325;0,0054;0,002475;0,004225;0,01225;null;null;null;null;null;null;null;null;null;null;null;null
Чернівці;4832590;Фенол;0,001925;0,0038;0,002525;0;0,00145;0,001375;0,003025;0,002125;0,00005;0,00075;0,001675;0,001425;0,00025;null;null;null;null;null;null;null;null;null;null;null;null
Чернівці;4832590;Фтористий водень;0,0001625;0,0003375;0;0;0,0003375;0;0;0;0;0,0001625;0,0001;0;0;0,000475;0,0002;0,0003375;0;0;0;0;0;0;0,0003125;0;0,0001375
Чернівці;4832590;Хлористий водень;0,032925;0,063275;0,090225;0;0,024975;0,067825;0,112375;0,0663;0,066775;0,1087;0,083875;0,039825;0;0,117775;0,1059;0,0145;0,1367;0,1061;0,00975;0,072475;0,04445;0,149525;0,0897;0,0903;0,033625
Чернівці;4832590;Формальдегiд;0;0,0000875;0,001125;0,001325;0,0019;0,0013125;0,00095;0,00175;0,004175;0,0027625;0,0044;0,003125;0,0020875;0,0057;0,004425;0,007125;0,0042;0,00055;0,006375;0,003575;0,003775;0,00285;0,00755;0,00405;0,0025
Ізмаїл;4542880;Завислі речовини;0,05;0,065;0,1;0,03;0,05;0,065;0,05;0,115;0,1;0,05;0,05;0,1;0,07;0,05;0,03;0,065;0,08;0,07;0,05;0,07;0,065;0,03;0,05;0,05;0,07
