city;coordinateNumber;nameImpurity;1February;2February;3February;5February;6February;7February;8February;9February;10February;11February;12February;13February;14February;15February;16February;17February;19February;20February;21February;22February;23February;24February;26February;27February;28February;29February
Кривий Ріг;4793340;Амiак;0,0095;0,0085;0,0095;0,009333333;0,01;0,0095;0,008;0,0095;0,0105;null;0,012;0,011;0,0105;0,0085;0,01;0,011;0,01;0,01;0,0105;0,0115;0,011;0,01;0,008266667;0,0095;0,0105;0,012
Кривий Ріг;4793340;Формальдегiд;0,00685;0,0067;0,0074;0,009066667;0,0087;0,0081;0,0058;0,00525;0,00615;null;0,010533333;0,00915;0,0082;0,0054;0,0068;0,00935;0,0082;0,0103;0,0094;0,00775;0,0079;0,00765;0,0118;0,0147;0,0118;0,01025
Кам'янське;4853460;Завислі речовини;0,2025875;0,166475;0,1554125;0,0910375;0,126325;0,244625;0,1672125;0,0803875;0,047825;null;0,0923;0,0858625;0,182125;0,16205;0,204125;0,1635875;0,1813375;0,2549125;0,171875;0,2174;0,31925;0,31405;0,286525;0,216125;0,2415;0,247525
Кам'янське;4853460;Дiоксид сiрки;0,005075;0,00295;0,00375;0,002925;0,0044125;0,00395;0,004625;0,0047875;0,003175;null;0,003175;0,0041625;0,00605;0,00505;0,0070125;0,00555;0,0048375;0,0056375;0,004375;0,00535;0,00575;0,005075;0,0055;0,005825;0,0061;0,00665
Кам'янське;4853460;Оксид вуглецю;2,75;2,625;3;2,625;3;2,875;2,75;2,75;2,875;null;2,875;3;3,125;3,5;4;3,75;3,25;3,5;2,75;2,75;2,25;2,5;2,75;3,25;2,5;2,75
Кам'янське;4853460;Дiоксид азоту;0,08366875;0,08984375;0,085625;0,054275;0,09691875;0,09138125;0,0975375;0,08511875;0,0769875;null;0,122191667;0,117425;0,0988;0,1013;0,10439375;0,1074625;0,118058333;0,11104375;0,1042;0,103275;0,11085;0,09865;0,098033333;0,0984125;0,1153375;0,113675
Кам'янське;4853460;Оксид азоту;0,04245;0,0432;0,040975;0,028966667;0,05705;0,052025;0,056325;0,0451;0,03985;null;0,062266667;0,0557;0,047825;0,04595;0,0417;0,049175;0,047733333;0,053575;null;null;null;null;null;null;null;null
Кам'янське;4853460;Сiрководень;0,004913333;0,004806667;0,004126667;0,004281818;0,004973333;0,004426667;0,004866667;0,004626667;0,00422;null;0,006154545;0,005906667;0,006006667;0,005646667;0,005226667;0,005146667;0,005272727;0,00542;0,004542857;0,004185714;0,004928571;0,005242857;0,0056;0,004742857;0,004971429;0,004842857
Кам'янське;4853460;Фенол;0,005175;0,00529375;0,0043125;0,004925;0,0061625;0,00545625;0,00584375;0,005025;0,00443125;null;0,0061;0,00584375;0,00639375;0,00623125;0,00593125;0,0050125;0,006725;0,006175;0,0055625;0,004975;0,006625;0,0062625;0,005716667;0,0070625;0,0069625;0,00575
Кам'янське;4853460;Амiак;0,043525;0,0326625;0,042425;0,0344125;0,0280875;0,0335875;0,0389875;0,038575;0,0358375;null;0,0424125;0,0481;0,0412125;0,0451375;0,04885;0,045875;0,04255;0,04665;0,048025;0,042225;0,051775;0,048325;0,041275;0,04695;0,0464;0,048475
