city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Дніпро;4863510;Оксид азоту;0,02;0,02;0,04;0,03;0,03;null;0,05;0,04;0,04;0,04;0,03;0,04;null;0,05;0,04;0,04;0,04;0,04;0,03;null;0,04;0,04;0,03;0,04;0,04;0,04;null;0,05;0,04;0,04;0,04
Дніпро;4863510;Сiрководень;0,001;0,001;0,001;0,001;0,003;null;0,004;0,002;0,003;0,002;0,003;0,001;null;0,002;0,002;0,001;0,002;0,002;0,001;null;0,003;0,002;0,002;0,002;0,002;0,004;null;0,001;0,002;0,002;0,003
Дніпро;4863510;Фенол;0,002;0,001;0,003;0,002;0,002;null;0,003;0,003;0,004;0,003;0,004;0,003;null;0,003;0,004;0,003;0,002;0,003;0,001;null;0,002;0,002;0,003;0,004;0,002;0,003;null;0,002;0,002;0,002;0,002
Дніпро;4863510;Амiак;0,03;0,04;0,04;0,04;0,05;null;0,05;0,05;0,05;0,05;0,05;0,05;null;0,05;0,05;0,05;0,06;0,05;0,05;null;0,05;0,06;0,04;0,05;0,05;0,05;null;0,05;0,05;0,06;0,05
Дніпро;4863510;Формальдегiд;0,012;0,013;0,01;0,016;0,016;null;0,018;0,019;0,022;0,029;0,026;0,024;null;0,024;0,023;0,024;0,021;0,026;0,017;null;0,022;0,024;0,021;0,025;0,024;0,025;null;0,025;0,026;0,024;0,021
Кривий Ріг;4793340;Завислі речовини;0,31;0,39;0,29;0,44;0,3;null;0,48;0,41;0,28;0,35;0,49;0,48;null;0,41;0,44;0,55;0,11;0,31;0,48;null;0,45;0,4;0,39;0,51;0,43;0,56;null;0,38;0,38;0,31;0,4
Кривий Ріг;4793340;Оксид вуглецю;1,5;1,4;1,1;1,8;1,3;null;2,7;1,3;1,3;1,5;1,7;1,1;null;1,2;1,3;1,2;1;1,5;1,7;null;1,2;1,5;1,1;1,7;2,2;1,7;null;1,2;1,1;1,1;1,8
Кам'янське;4853460;Завислі речовини;0,26;0,16;0,34;0,26;0,27;null;0,25;0,36;0,34;0,34;0,33;0,29;null;0,35;0,35;0,38;0,26;0,26;0,31;null;0,26;0,37;0,31;0,36;0,3;0,36;null;0,34;0,29;0,38;0,32
Кам'янське;4853460;Дiоксид сiрки;0,006;0,006;0,005;0,008;0,011;null;0,01;0,011;0,01;0,008;0,011;0,01;null;0,009;0,009;0,01;0,01;0,009;0,009;null;0,009;0,008;0,009;0,009;0,009;0,009;null;0,01;0,009;0,01;0,01
Кам'янське;4853460;Оксид вуглецю;3,1;3,1;2,5;2,6;2,8;null;3;2,8;3,1;3,9;3,9;4,5;null;4;4,3;4,1;3,1;2,9;3,3;null;3,8;3,4;3,5;3,8;4,1;4,3;null;4;3,8;4;4,1
Кам'янське;4853460;Дiоксид азоту;0,13;0,13;0,13;0,15;0,16;null;0,16;0,12;0,11;0,14;0,13;0,12;null;0,14;0,15;0,11;0,11;0,16;0,12;null;0,12;0,12;0,1;0,15;0,14;0,15;null;0,1;0,11;0,14;0,12
Кам'янське;4853460;Оксид азоту;0,07;0,07;0,05;0,07;0,08;null;0,08;0,05;0,06;0,06;0,07;0,07;null;0,06;0,07;0,06;0,05;0,09;0,06;null;0,07;0,06;0,05;0,08;0,06;0,05;null;0,05;0,05;0,08;0,06
Кам'янське;4853460;Сiрководень;0,004;0,004;0,004;0,005;0,005;null;0,005;0,005;0,005;0,005;0,005;0,004;null;0,003;0,003;0,003;0,002;0,005;0,004;null;0,004;0,004;0,004;0,004;0,004;0,006;null;0,004;0,004;0,004;0,004
Кам'янське;4853460;Фенол;0,005;0,004;0,004;0,004;0,003;null;0,004;0,004;0,005;0,005;0,005;0,004;null;0,006;0,005;0,006;0,006;0,005;0,005;null;0,005;0,004;0,005;0,004;0,003;0,004;null;0,01;0,007;0,005;0,005
