city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Дніпро;4863510;Дiоксид сiрки;0,009375;0,009958333;0,009458333;0,016458333;0,008541667;null;0,010333333;0,011958333;0,008958333;0,009833333;0,01175;0,010833333;null;0,012666667;0,012458333;0,014333333;0,015916667;0,010541667;0,01325;null;0,009166667;0,011958333;0,009541667;0,015041667;0,009833333;0,016375;null;0,012388889;0,006708333;0,008166667
Дніпро;4863510;Оксид вуглецю;2,333333333;2,75;2,416666667;2,75;2,416666667;null;2,5;2,5;2,25;2,5;2,583333333;2;null;2;2,5;2,25;2,5;2,5;2;null;2,166666667;2,083333333;2,083333333;2;2,083333333;2,25;null;2,25;1,666666667;2,25
Дніпро;4863510;Дiоксид азоту;0,072083333;0,085;0,082916667;0,087083333;0,07;null;0,078333333;0,08375;0,082916667;0,082916667;0,077083333;0,064583333;null;0,073888889;0,082916667;0,09625;0,100833333;0,09625;0,076666667;null;0,076666667;0,07625;0,078333333;0,085833333;0,0775;0,06875;null;0,068333333;0,057916667;0,059583333
Дніпро;4863510;Оксид азоту;0,025;0,05;0,0475;0,0425;0,04;null;0,03;0,0275;0,0375;0,045;0,0375;0,035;null;0,023333333;0,055;0,045;0,065;0,0375;0,03;null;0,033333333;0,0375;0,04;0,035;0,0375;0,035;null;0,033333333;0,0325;0,0325
Дніпро;4863510;Сiрководень;0,002625;0,003208333;0,004083333;0,004416667;0,002666667;null;0,002777778;0,003291667;0,002166667;0,002708333;0,002875;0,002375;null;0,005277778;0,00675;0,005333333;0,004916667;0,006583333;0,00375;null;0,002722222;0,00325;0,002541667;0,005458333;0,001666667;0,003583333;null;0,002222222;0,001166667;0,002166667
Дніпро;4863510;Фенол;0,002333333;0,00325;0,00175;0,002916667;0,002833333;null;0,001777778;0,001416667;0,001583333;0,0025;0,00275;0,0025;null;0,002222222;0,002;0,003583333;0,003666667;0,003166667;0,001916667;null;0,002444444;0,0025;0,0025;0,002;0,001;0,001333333;null;0,001;0,00125;0,001583333
Дніпро;4863510;Амiак;0,03;0,03375;0,0275;0,03375;0,02125;null;0,033333333;0,0125;0,016625;0,0225;0,0275;0,025;null;0,026666667;0,035;0,03125;0,03125;0,035;0,02875;null;0,036666667;0,03625;0,02625;0,04125;0,02375;0,04;null;0,033333333;0,03;0,03375
Дніпро;4863510;Формальдегiд;0,011166667;0,010083333;0,011416667;0,010833333;0,014;null;0,009888889;0,010833333;0,009083333;0,010333333;0,012083333;0,0095;null;0,010888889;0,0105;0,013083333;0,0125;0,012833333;0,012333333;null;0,012777778;0,010083333;0,011333333;0,012416667;0,010666667;0,011916667;null;0,01;0,0095;0,0115
Кривий Ріг;4793340;Завислі речовини;0,22;0,24;0,05;0,13;0,13;null;0,26;0,27;0,12;0,1;0,03;0,05;null;0,37;0,32;0,35;0,26;0,28;0,31;null;0,31;0,29;0,32;0,27;0,277777778;0,2375;null;0,2;0,275;0,35
Кривий Ріг;4793340;Дiоксид сiрки;0,023076923;0,027076923;0,022769231;0,023692308;0,024307692;null;0,0177;0,022615385;0,018692308;0,020615385;0,018615385;0,021384615;null;0,0279;0,031692308;0,029076923;0,025692308;0,027230769;0,024615385;null;0,0237;0,026;0,024307692;0,026384615;0,023083333;0,0253;null;0,023875;0,03;0,0294
Кривий Ріг;4793340;Оксид вуглецю;1,2;1,2;1,2;1,2;1,1;null;1;1;1;1;1;1;null;1,5;1,5;1,4;1,2;1,1;1,1023;null;1;1,2;1;1;1;1,125;null;1;1,375;1,125
Кривий Ріг;4793340;Дiоксид азоту;0,027692308;0,05;0,03;0,021538462;0,021538462;null;0,019;0,018461538;0,024615385;0,032307692;0,017692308;0,022307692;null;0,03;0,03;0,028461538;0,025384615;0,029230769;0,024615385;null;0,023;0,024615385;0,030769231;0,022307692;0,024166667;0,027;null;0,03875;0,041;0,042
Кривий Ріг;4793340;Оксид азоту;0,02;0,026666667;0,02;0,016666667;0,013333333;null;0,01;0,016666667;0,02;0,02;0,01;0,013333333;null;0,015;0,02;0,016666667;0,02;0,013333333;0,016666667;null;0,02;0,016666667;0,016666667;0,013333333;0,016666667;0,02;null;0,025;0,023333333;0,033333333
Кривий Ріг;4793340;Сiрководень;0,0011;0,0012;0,0011;0,001;0,0012;null;0,001;0,001;0,001;0,001;0,0008;0,001;null;0,0015;0,0012;0,0013;0,001;0,0013;0,001;null;0,001;0,0011;0,0011;0,001;0,001;0,001;null;0,001;0,00125;0,00125
Кривий Ріг;4793340;Фенол;0,00185;0,00195;0,00145;0,00155;0,0016;null;0,001533333;0,0016;0,0014;0,0016;0,00125;0,0016;null;0,002133333;0,00235;0,0022;0,00165;0,00175;0,00165;null;0,0016;0,00205;0,00165;0,0017;0,001888889;0,00175;null;0,001833333;0,0018125;0,0026875
Кривий Ріг;4793340;Амiак;0,0105;0,0105;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,010666667;0,012;0,0105;0,01;0,01;0,0105;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,010625
Кривий Ріг;4793340;Формальдегiд;0,0152;0,01775;0,01215;0,0119;0,0115;null;0,01;0,0135;0,0093;0,00975;0,0084;0,00835;null;0,015066667;0,01405;0,01095;0,0122;0,0115;0,01055;null;0,0092;0,0102;0,01225;0,01025;0,010277778;0,01125;null;0,010583333;0,010125;0,0133125
Кам'янське;4853460;Завислі речовини;0,0855875;0,199125;0,07265;0,1641125;0,2283;null;0,1412125;0,1661375;0,127125;0,19255;0,190675;0,1950375;null;0,2481625;0,2177;0,2659875;0,2061875;0,2413;0,2627125;null;0,2365875;0,3318625;0,408125;0,3862125;0,3964125;0,322825;null;0,2865375;0,3329625;0,326825
Кам'янське;4853460;Дiоксид сiрки;0,00605;0,005;0,00465;0,00495;0,0042375;null;0,0059375;0,00545;0,0041375;0,004325;0,0060125;0,0048375;null;0,0059125;0,006275;0,007;0,0068125;0,0073625;0,0092375;null;0,0077;0,0088;0,0082625;0,0081625;0,0077875;0,0061875;null;0,005975;0,0064375;0,006775
Кам'янське;4853460;Оксид вуглецю;2,75;2,25;2,375;3,125;3,125;null;2,75;3,25;2,75;3;3;3,125;null;3;3,25;3,25;3;3,125;3,25;null;3;3,25;3,125;2,875;3,125;2,875;null;2,875;3;3,25
