city;coordinateNumber;nameImpurity;1October;2October;3October;4October;5October;6October;7October;8October;9October;10October;11October;12October;13October;14October;15October;16October;17October;18October;19October;20October;21October;22October;23October;24October;25October;26October;27October;28October;29October;30October;31October;;;;;;;;;;;;
Івано-Франківськ;4892470;Оксид вуглецю;1,85;1,4;1,95;1,85;1,85;null;1,75;1,95;2,3;2,4;1,7;1,95;null;1,95;2,15;1,85;3,2;1,95;2,3;null;null;null;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;
Івано-Франківськ;4892470;Дiоксид азоту;0,045725;0,048275;0,05355;0,060025;0,043025;null;0,049075;0,038475;0,046025;0,05935;0,039975;0,047775;null;0,042425;0,036275;0,03205;0,03345;0,04315;0,049625;null;null;null;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;
Івано-Франківськ;4892470;Оксид азоту;0,030025;0,030875;0,03485;0,0392;0,0281;null;0,0329;0,0272;0,02955;0,038025;0,02665;0,0306;null;0,0247;0,025025;0,022075;0,0229;0,029175;0,032725;null;null;null;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;
Дніпро;4863510;Завислі речовини;0,5125;0,35;0,35;0,35;0,2875;null;0,275;0,3;0,35;0,3;0,3625;0,275;null;0,2875;0,3;0,25;0,2625;0,225;0,175;null;0,25;0,3375;0,3125;0,3;0,3;0,25;null;0,25;0,325;0,325;0,3;;;;;;;;;;;;
Дніпро;4863510;Дiоксид сiрки;0,01425;0,01975;0,014333333;0,013875;0,013458333;null;0,0075;0,008833333;0,0075;0,01;0,009083333;0,010333333;null;0,008333333;0,008958333;0,00825;0,008708333;0,007833333;0,00725;null;0,013611111;0,0135;0,011208333;0,012958333;0,014333333;0,009458333;null;0,009222222;0,013541667;0,013958333;0,020083333;;;;;;;;;;;;
Дніпро;4863510;Оксид вуглецю;2,583333333;2,416666667;2,166666667;2,416666667;1,833333333;null;2,166666667;2,583333333;2,416666667;2,5;3,25;2,666666667;null;2,666666667;2,416666667;2,333333333;2,083333333;2,416666667;1,666666667;null;2,003076923;2,416666667;2,272727273;2,416666667;2,666666667;1,833333333;null;2,083333333;1,916666667;1,916666667;2,083333333;;;;;;;;;;;;
Дніпро;4863510;Дiоксид азоту;0,063333333;0,074166667;0,077916667;0,07;0,075833333;null;0,086111111;0,079583333;0,092916667;0,082083333;0,085;0,073333333;null;0,074444444;0,077083333;0,066666667;0,07625;0,067916667;0,06;null;0,067777778;0,068333333;0,070833333;0,06625;0,075;0,0625;null;0,062222222;0,05875;0,064583333;0,069583333;;;;;;;;;;;;
Дніпро;4863510;Оксид азоту;0,03;0,035;0,0425;0,04;0,0375;null;0,036666667;0,035;0,035;0,0325;0,0375;0,035;null;0,043333333;0,035;0,0375;0,045;0,0425;0,035;null;0,033333333;0,0375;0,035;0,0325;0,0375;0,0425;null;0,033333333;0,0325;0,035;0,035;;;;;;;;;;;;
Дніпро;4863510;Сiрководень;0,001625;0,002083333;0,002125;0,001666667;0,001958333;null;0,001777778;0,001958333;0,002625;0,003041667;0,001583333;0,002041667;null;0,001833333;0,002375;0,002958333;0,002791667;0,001666667;0,001333333;null;0,003555556;0,003125;0,001125;0,00375;0,003583333;0,001291667;null;0,001777778;0,004583333;0,002041667;0,004583333;;;;;;;;;;;;
Дніпро;4863510;Фенол;0,002416667;0,001916667;0,002416667;0,000833333;0,002;null;0,001555556;0,004666667;0,003166667;0,003083333;0,002333333;0,00275;null;0,001444444;0,002416667;0,002416667;0,002;0,003166667;0,002166667;null;0,002333333;0,003166667;0,001583333;0,002;0,00225;0,002166667;null;0,001777778;0,00275;0,001166667;0,002583333;;;;;;;;;;;;
Дніпро;4863510;Амiак;0,0425;0,03875;0,03625;0,0475;0,04;null;0,046666667;0,0425;0,05625;0,0525;0,04875;0,04;null;0,055;0,04;0,05;0,04125;0,04125;0,03875;null;0,036666667;0,04875;0,03625;0,0425;0,04625;0,02625;null;0,046666667;0,04;0,03375;0,03875;;;;;;;;;;;;
Дніпро;4863510;Формальдегiд;0,016833333;0,013833333;0,016416667;0,015916667;0,015333333;null;0,015444444;0,014583333;0,013166667;0,01425;0,015083333;0,013166667;null;0,011444444;0,00975;0,011083333;0,009833333;0,014833333;0,011916667;null;0,014666667;0,015833333;0,018;0,015416667;0,014416667;0,012416667;null;0,017666667;0,014083333;0,013666667;0,01525;;;;;;;;;;;;
Кривий Ріг;4793340;Завислі речовини;0,68;0,47;0,27;0,25;0,3;null;0,29;0,3;0,48;0,35;0,2;0;null;0,2;0,3;0,14;0,19;0,21;0,02;null;0,28;0,29;0,45;0,31;0,33;0,2;null;0,12;0,33;0,42;null;;;;;;;;;;;;
Кривий Ріг;4793340;Дiоксид сiрки;0,028846154;0,032;0,030692308;0,033384615;0,031230769;null;0,0275;0,026769231;0,033461538;0,028923077;0,023076923;0,013307692;null;0,0185;0,017538462;0,020307692;0,023230769;0,026230769;0,014769231;null;0,0194;0,022846154;0,036307692;0,034461538;0,030846154;0,027384615;null;0,0311;0,026;0,024923077;null;;;;;;;;;;;;
Кривий Ріг;4793340;Оксид вуглецю;1,3;1,3;1,7;1,6;1,4;null;1,4;1,2;1,7;1,2;1,2;1;null;1;1,2;1,1;1,1;1;1;null;1,1;1,5;2,1;1,1;1;1;null;1,2;1;1,1;null;;;;;;;;;;;;
Кривий Ріг;4793340;Дiоксид азоту;0,046923077;0,032307692;0,034615385;0,036153846;0,037692308;null;0,028;0,025384615;0,026923077;0,027692308;0,043846154;0,024615385;null;0,018;0,027692308;0,026923077;0,02;0,031538462;0,02;null;0,04;0,029230769;0,051538462;0,026153846;0,026923077;0,023076923;null;0,037;0,028461538;0,024615385;null;;;;;;;;;;;;
Кривий Ріг;4793340;Оксид азоту;0,016666667;0,023333333;0,023333333;0,026666667;0,023333333;null;0,02;0,016666667;0,016666667;0,013333333;0,01;0,02;null;0,01;0,016666667;0,016666667;0,01;0,02;0,013333333;null;0,025;0,01;0,013333333;0,016666667;0,013333333;0,016666667;null;0,025;0,016666667;0,013333333;null;;;;;;;;;;;;
Кривий Ріг;4793340;Сiрководень;0,0011;0,0013;0,001;0,0011;0,0012;null;0,0011;0,0006;0,0009;0,0008;0,0012;0,0011;null;0,0007;0,0008;0,0008;0,0008;0,001;0,0006;null;0,001;0,0011;0,0011;0,001;0,0011;0,0009;null;0,0013;0,0008;0,001;null;;;;;;;;;;;;
Кривий Ріг;4793340;Фенол;0,00205;0,0025;0,00235;0,00255;0,0024;null;0,001933333;0,0019;0,0029;0,0016;0,0021;0,0013;null;0,001266667;0,0012;0,00105;0,0007;0,0022;0,0015;null;0,0018;0,00175;0,0021;0,00215;0,00185;0,0018;null;0,001933333;0,0019;0,00195;null;;;;;;;;;;;;
Кривий Ріг;4793340;Амiак;0,01;0,01;0,01;0,01;0,01;null;0,010666667;0,008;0,011;0,009;0,01;0,01;null;0,01;0,009;0,009;0,007;0,0095;0,0095;null;0,01;0,01;0,01;0,01;0,0105;0,01;null;0,011333333;0,01;0,012;null;;;;;;;;;;;;
Кривий Ріг;4793340;Формальдегiд;0,0127;0,0142;0,0127;0,0136;0,0134;null;0,0112;0,01125;0,0155;0,0146;0,0115;0,0114;null;0,011333333;0,0115;0,01065;0,00925;0,0141;0,01005;null;0,012933333;0,0116;0,0131;0,01315;0,01305;0,01335;null;0,014466667;0,0139;0,0132;null;;;;;;;;;;;;
Кам'янське;4853460;Завислі речовини;0,4034375;0,3506875;0,4485;0,3493;0,4064375;null;0,240625;0,2008875;0,27425;0,2565625;0,2772;0,2229;null;0,155275;0,21365;0,2315375;0,2325125;0,244875;0,0895875;null;0,1906625;0,2315;0,2220875;0,235175;0,248475;0,2605125;null;0,2412875;0,2659375;0,2508875;0,24365;;;;;;;;;;;;
Кам'янське;4853460;Дiоксид сiрки;0,01005;0,0088625;0,0093375;0,0089625;0,0080625;null;0,00765;0,006825;0,0064625;0,00705;0,0095375;0,0066625;null;0,00675;0,007475;0,0067625;0,0079625;0,0061125;0,0047625;null;0,0052875;0,0040625;0,0036375;0,0043375;0,005575;0,0041;null;0,0048125;0,00525;0,0049125;0,005775;;;;;;;;;;;;
Кам'янське;4853460;Оксид вуглецю;3,875;4,125;4,125;4,25;4,25;null;3,875;3,875;4,375;4,25;4,25;3,875;null;3,75;3,875;4;4,125;3,625;3,375;null;3,75;3,25;3,25;3,5;3,5;3,25;null;3,375;3,375;3,25;3,375;;;;;;;;;;;;
Кам'янське;4853460;Дiоксид азоту;0,120725;0,11376875;0,069725;0,1020625;0,1216625;null;0,1281;0,0747375;0,0951125;0,09699375;0,11790625;0,10600625;null;0,13305;0,120925;0,13365625;0,12665625;0,128725;0,09364375;null;0,125908333;0,09315625;0,0986;0,0876;0,08298125;0,1084625;null;0,105191667;0,0897625;0,1002875;0,1093;;;;;;;;;;;;
Кам'янське;4853460;Оксид азоту;0,053375;0,05045;0,04085;0,04765;0,05795;null;0,063366667;0,03825;0,051625;0,041825;0,052525;0,0579;null;0,0686;0,062725;0,064425;0,059225;0,0622;0,0311;null;0,061933333;0,038275;0,05;0,0417;0,045775;0,052275;null;0,0427;0,042;0,055425;0,0456;;;;;;;;;;;;
Кам'янське;4853460;Сiрководень;0,004426667;0,00378;0,003693333;0,003506667;0,003646667;null;0,003218182;0,003006667;0,003666667;0,003753333;0,00432;0,003893333;null;0,004409091;0,003973333;0,004293333;0,00384;0,004013333;0,00288;null;0,004890909;0,003946667;0,00422;0,004326667;0,00424;0,004433333;null;0,004181818;0,00394;0,004106667;0,004473333;;;;;;;;;;;;
Кам'янське;4853460;Фенол;0,00573125;0,00728125;0,0098875;0,00741875;0,0056875;null;0,004725;0,00415;0,00516875;0,00505625;0,0047;0,0047875;null;0,005333333;0,0052875;0,005025;0,00505625;0,005025;0,00346875;null;0,005533333;0,00641875;0,0059875;0,0047125;0,00476875;0,00478125;null;0,005241667;0,00485;0,00665625;0,00533125;;;;;;;;;;;;
Кам'янське;4853460;Амiак;0,0485;0,048925;0,0452625;0,0424375;0,0448125;null;0,0483875;0,0463;0,042725;0,04735;0,04665;0,0417625;null;0,03945;0,0441625;0,047525;0,045575;0,0420625;0,036525;null;0,0451;0,0448125;0,040525;0,0478875;0,04585;0,0464625;null;0,0448625;0,0464;0,04155;0,043275;;;;;;;;;;;;
Кам'янське;4853460;Формальдегiд;0,0121375;0,0069875;0,007875;0,0063;0,0075125;null;0,008;0,00765;0,00595;0,00735;0,0107625;0,008975;null;0,0084125;0,0085625;0,008775;0,0086125;0,010075;0,0078125;null;0,0100625;0,0095875;0,008975;0,0094375;0,009175;0,0084625;null;0,0085875;0,0102125;0,01045;0,009525;;;;;;;;;;;;
