city;coordinateNumber;nameImpurity;1November;2November;3November;4November;5November;6November;7November;8November;9November;10November;11November;12November;13November;14November;15November;16November;17November;18November;19November;20November;21November;22November;23November;24November;25November;26November;27November;28November;29November;30November
Кропивницький;4853220;Завислі речовини;0,266666667;0,25;null;0,166666667;0,266666667;0,216666667;0,283333333;0,25;0,166666667;null;0,2;0,266666667;0,283333333;0,2;0,233333333;0,266666667;null;0,25;0,3;0,25;0,25;0,2;0,183333333;null;0,2;0,233333333;0,216666667;0,233333333;0,183333333;0,166666667
Кропивницький;4853220;Дiоксид сiрки;0,017391667;0,018658333;null;0,018888889;0,017058333;0,02245;0,018733333;0,021141667;0,020241667;null;0,014644444;0,018416667;0,020433333;0,018625;0,016325;0,016041667;null;0,029577778;0,0188;0,020591667;0,018166667;0,02055;0,02155;null;0,026988889;0,017516667;0,015425;0,022775;0,024075;0,022666667
Кропивницький;4853220;Сульфати;0,005;0,01;null;0,005;0,005;0,005;0,01;0;0,01;null;0,005;0;0,005;0,01;0,01;0;null;0,005;0,005;0,01;0;0,005;0,005;null;0;0;0,01;0;0,01;0
Кропивницький;4853220;Оксид вуглецю;3,166666667;2;null;2,5;2,666666667;2,833333333;2,5;3,166666667;2,166666667;null;2;2,333333333;2,666666667;2,166666667;2,166666667;2,5;null;2,333333333;2,333333333;2;2,333333333;2;2;null;2,5;1,833333333;1,166666667;2,333333333;2,5;2,5
Кропивницький;4853220;Дiоксид азоту;0,026408333;0,026141667;null;0,031766667;0,032316667;0,03455;0,020425;0,029241667;0,026941667;null;0,0294;0,024733333;0,030291667;0,027483333;0,024758333;0,0219;null;0,030611111;0,031791667;0,0283;0,029725;0,0246;0,03315;null;0,028544444;0,031483333;0,026575;0,029666667;0,029433333;0,029141667
Кропивницький;4853220;Оксид азоту;0,011225;0,020375;null;0,019733333;0,019025;0,022875;0,01155;0,016975;0,017175;null;0,0153;0,012575;0,0193;0,0123;0,01645;0,018325;null;0,013;0,01945;0,018125;0,019125;0,013725;0,016575;null;0,009466667;0,01425;0,0135;0,02465;0,01145;0,022125
Кропивницький;4853220;Сажа;0,023333333;0,016666667;null;0,021666667;0,021666667;0,053333333;0,05;0,053333333;0,035;null;0,033333333;0,031666667;0,035;0,031666667;0,045;0,041666667;null;0,055;0,028333333;0,048333333;0,023333333;0,046666667;0,05;null;0,055;0,033333333;0,04;0,051666667;0,051666667;0,056666667
Кропивницький;4853220;Формальдегiд;0,004133333;0,0027;null;0,006433333;0,0053;0,005833333;0,007233333;0,004466667;0,0032;null;0,004466667;0,002133333;0,006033333;0,004233333;0,003466667;0,002933333;null;0,004566667;0,005066667;0,003833333;0,004033333;0,003;0,003766667;null;0,002666667;0,007466667;0,006133333;0,0051;0,004733333;0,005233333
Світловодськ;4903340;Завислі речовини;0,05;0,1;null;0,1;0,1;0,1;0,1;0;0;null;0;0;0,05;0;0;0;null;0,05;0,05;0,1;0;0,05;null;null;0,05;0,05;0,05;0;0,1;0,15
Світловодськ;4903340;Дiоксид сiрки;0,026;0,019533333;null;0,006433333;0,008333333;0,0274;0,031566667;0,018733333;0,0146;null;0,0166;0,010366667;0,0271;0,006266667;0,0042;0,004266667;null;0,010666667;0,010566667;0,008566667;0,006466667;0,006366667;null;null;0,014566667;0,012533333;0,0126;0,024933333;0,0062;0,014366667
Світловодськ;4903340;Сульфати;0;0,005;null;0,005;0;0;0,005;0,01;0,005;null;0,01;0;0,005;0;0;0;null;0;0,01;0;0;0;null;null;0;0,01;0,005;0,01;0,01;0,01
Світловодськ;4903340;Оксид вуглецю;1;1;null;1;1;1;1;1;1;null;1;1;1;1;1;1;null;1;1;1;1;1;null;null;1;1;0,5;1;1;1
Світловодськ;4903340;Дiоксид азоту;0,017566667;0,010633333;null;0,0139;0,016866667;0,027433333;0,024;0,023733333;0,023733333;null;0,037133333;0,0236;0,023733333;0,0169;0,010266667;0,003366667;null;0,0035;0,0138;0,017533333;0,003633333;0,003466667;null;null;0,013566667;0,051;0,020466667;0,0202;0,026866667;0,036733333
